@relation Weather

@attribute DateTime date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute Tempature numeric
@attribute Humidity numeric
@attribute Preasure numeric
@attribute Description {Clear,'Partly cloudy',Overcast,Drizzle,'Shower In Vicinity','Light Rain Shower, Rain Shower','Light Rain','Patchy rain possible','Light Rain, Mist','Shallow Fog','Patches Of Fog',Mist,Sunny,Fog,'Shallow Fog, Mist',Rain,'Light Rain, Rain','Heavy Drizzle, Rain','Heavy Drizzle, Haze, Light Rain Shower','Rain Shower','Light Rain, Rain Shower','Shower In Vicinity, Rain Shower','Rain, Light Rain Shower, Rain Shower','Light Drizzle','Light Rain Shower','Rain, Light Rain, Rain Shower','Light Drizzle, Rain','Light Drizzle, Rain Shower','Rain, Mist, Light Rain Shower','Rain, Haze, Rain Shower','Rain, Haze','Light Rain, Rain Shower, Heavy Rain','Heavy Rain','Drizzle, Heavy Rain','Light Rain, Heavy Rain','Rain, Heavy Rain','Mist, Heavy Rain Shower','Heavy Rain Shower','Rain With Thunderstorm','Light rain shower','Rain, Light Rain','Shallow Mist','Light Rain, Fog','Shallow Fog, Fog','Rain Shower, Light Rain Shower','Patches Of Fog, Fog','Fog, Mist'}
@attribute Rain numeric
@attribute 'Wind Speed' numeric
@attribute 'Wind Direction ' numeric
@attribute Visibility numeric
@attribute 'Cloud Cover' numeric
@attribute 'Feels Like' numeric
@attribute UV numeric
@attribute 'Outside Temp' numeric

@data
2019-03-17T20:00:44,35.7,44.9,1026.2,Clear,0.1,17,20,10,0,25,0,22
2019-03-17T21:00:41,35.4,43,1026.4,Clear,0.1,17,40,10,0,25,0,22
2019-03-17T22:00:38,35.2,43.3,1026.9,Clear,0.1,13,40,10,0,21,0,21
2019-03-17T23:00:39,33.5,44.1,1026.9,'Partly cloudy',0,9,30,10,25,20,0,20
2019-03-18T00:00:42,33.1,44.2,1026.6,'Partly cloudy',0,9,30,10,25,21,0,21
2019-03-18T01:00:38,32.5,46.3,1026.3,'Partly cloudy',0,7,20,10,75,20,0,20
2019-03-18T02:00:39,32,45.2,1025.9,'Partly cloudy',0,6,50,10,50,19,0,19
2019-03-18T03:00:38,32,45.7,1025.6,'Partly cloudy',0,7,70,10,25,18,0,18
2019-03-18T04:00:39,31.5,45.7,1025.3,'Partly cloudy',0,7,50,10,75,19,0,19
2019-03-18T05:00:38,31.3,46.8,1025.5,Overcast,0,7,120,10,100,19,0,19
2019-03-18T06:00:39,31.2,47.4,1025.5,Overcast,0,6,100,10,100,19,0,19
2019-03-18T07:00:38,31.1,47.4,1025.6,'Partly cloudy',0,2,70,10,75,19,0,19
2019-03-18T08:00:39,30.9,51.2,1026.2,'Partly cloudy',0,7,100,10,75,19,5,19
2019-03-18T09:00:38,31.4,49.1,1026.1,'Partly cloudy',0,7,110,10,75,19,5,19
2019-03-18T13:00:39,35.2,44.2,1025.2,'Partly cloudy',0,11,20,10,75,25,6,23
2019-03-18T14:00:38,35.9,43.5,1024.8,'Partly cloudy',0.1,11,20,10,75,25,6,23
2019-03-18T15:00:38,36.6,43.4,1024.1,Drizzle,0.5,13,60,10,75,25,5,22
2019-03-18T16:00:39,36.6,43.3,1023.5,'Partly cloudy',0.5,13,20,10,75,25,6,23
2019-03-18T17:00:38,36.4,44,1023.5,'Shower In Vicinity',0.6,17,40,10,75,25,5,22
2019-03-18T18:00:38,36.1,47.3,1023.5,'Light Rain Shower, Rain Shower',0.6,11,20,10,75,25,5,22
2019-03-18T19:00:39,35.6,46.9,1023.8,'Light Rain',0.8,6,360,7,100,20,5,20
2019-03-18T20:00:38,35.3,46.8,1023.8,'Shower In Vicinity',0.8,11,30,10,100,19,0,19
2019-03-18T21:00:39,35,44.8,1024.2,'Partly cloudy',0.4,9,350,10,75,19,0,19
2019-03-18T22:00:43,34.6,45.5,1024.4,Overcast,0.4,9,20,10,100,19,0,19
2019-03-18T23:00:38,33.7,46.4,1024.7,Overcast,0.3,6,20,10,100,19,0,19
2019-03-19T00:00:40,32.8,47,1024.5,'Partly cloudy',0.1,4,320,10,75,19,0,19
2019-03-19T01:00:42,32.4,47.4,1024.5,Overcast,0,6,300,10,100,19,0,19
2019-03-19T02:00:38,31.9,47.2,1024.2,'Partly cloudy',0,6,340,10,75,19,0,19
2019-03-19T03:00:38,31.6,48.2,1024.1,Overcast,0,2,80,10,100,19,0,19
2019-03-19T04:00:38,31.2,46.2,1023.8,Overcast,0,4,80,10,100,19,0,19
2019-03-19T05:00:39,30.8,47.3,1023.7,'Partly cloudy',0,7,40,10,75,19,0,19
2019-03-19T06:00:39,30.8,50,1023.5,Overcast,0,7,30,10,100,19,0,19
2019-03-19T07:00:39,31,50.6,1023.6,Overcast,0,7,20,10,100,19,0,19
2019-03-19T08:00:38,31,48.3,1024.2,Overcast,0,7,30,10,100,19,4,19
2019-03-19T09:00:39,30.8,49.4,1024.5,'Partly cloudy',0,11,360,10,75,19,5,19
2019-03-19T11:00:37,31.1,50.1,1024.7,'Patchy rain possible',0,4,48,18,100,19,4,19
2019-03-19T13:00:38,32,48.7,1024.3,'Light Rain',0.1,17,40,10,75,19,4,19
2019-03-19T14:00:38,31.9,48.6,1024.1,'Light Rain',0.2,17,40,10,75,19,4,19
2019-03-19T15:00:38,32,48.1,1023.7,'Light Rain, Mist',1.1,17,50,4,75,19,4,19
2019-03-19T16:00:38,31.9,48.2,1023.4,Overcast,1.1,15,30,10,100,19,4,19
2019-03-19T17:00:39,31.8,49.2,1023.1,Overcast,0.8,9,30,10,100,20,5,20
